ID_author_1,ID_author_2,scopus_id_collaborations
1,2,"85014919741,84944145198,84908032310,84987846873,84905328115,84908662498,84897973930,84908617263,84899649403,84879350412,84877896066,84869888714,84861098027,84856376138,84926315967"
1,3,"85014919741,85021760353,85053199113,85039974799,85073695877,85067839665,85092168933,85072705357,85072685873,85096474552,84929626460,84886093396,34547886519,34547856259,34250009734,85025696658,85100767071,84870848470,84861001802,84866101197,84863936720,84861706456,84862230096,84856231594,84856213362,80054831568,79961127079,79956364388,79956340129,79955468732,78650515684,78650708691,77957360470,77956262042,57449100021,51349149413,43849101828,58849161833,58849160888,58849109900,58849103522,50449100462,35948929920,33847415449,33947312510,36148949354,25144487779,24344456650,1542346359,84857418807,84889950550"
1,4,"85014919741,84944145198,84938960466,84908032310,84969836689,84987846873,84945162319,85029533751,85021760353,85027723196,85011320947,85025699383,85016569895,85057757630,85054102907,85056155940,85053199113,85048788798,85047253472,85045562040,85036528419,85039974799,85073695877,85067839665,85059305305,85057742920,85092168933,85072208009,85072705357,85072685873,85075264777,85096474552,84905328115,84916197861,84908662498,84897973930,84908617263,84899649403,84886093396,84881304377,84879350412,84883786420,84877896066,84873809546,84869888714,84861098027,84856376138,84855706385,80052090480,79960972279,80955180128,79955585050,60649120410,84926315967"
1,5,"85014919741,84944145198,84938960466,84908032310,84969836689,84987846873,85029533751,85027723196,85011320947,85025699383,85016569895,85057757630,85054102907,85056155940,85053199113,85048788798,85047253472,85045562040,85036528419,85039974799,85073695877,85067839665,85057742920,85072705357,85072685873,85075264777,84905328115,84929626460,84916197861,84908662498,84897973930,84908617263,84899649403,84886093396,84879350412,84877896066,84873809546,84869888714,84861098027,84856376138,84855706385,80052090480,79960972279,80955180128,79955585050,84926315967"
2,3,"85014919741,85049783762,85042728544,85027166038"
2,4,"85014919741,84944145198,8344268620,84928403518,84927144703,84928352468,84908377129,84908032310,84974834759,84992360049,84964284829,84987846873,84963894124,84961285652,85038020078,85021082457,85013379995,85008656587,85026751235,85013005046,85049783762,85051118356,85047496072,85043989464,85042728544,85028946951,85027166038,85021449853,85070867493,85065438592,85046849777,85060203203,85095441075,85084811418,85084373705,85075419353,85083359530,85084070301,85082739449,85087971095,85082851130,85077656929,85072703238,85113155682,85115606532,85112520388,85110488519,85106319704,85111426070,85103415531,85103657459,85100676551,85101397734,85096366925,85090732114,85127829942,85132784394,85137747000,85131459280,85131072540,85127001694,85125931655,85127267378,85124957120,85123033899,85121260493,85114187854,85121223245,85115794347,84905328115,84955401097,84908662498,84897973930,84894025687,84908651399,84908617263,84899649403,84879350412,84877896066,84869888714,84867103449,84863622859,84861098027,84859147195,84856376138,80054730060,79961027208,79959810599,79951857697,79951850591,79251637743,78649904780,77955511748,77955295529,77950614080,74849113523,79251632960,70350290355,67649213496,67651159254,65949115976,53849105471,43449120122,40749145168,40749083849,35748948681,44449121857,44449119014,34249775211,34248174324,33847273541,33846984307,34548062880,33846200347,33846248646,33749590348,33750333009,33748692762,33747219487,33745728062,33746108113,33646810866,33646859233,33744549353,33744546676,34248583877,33644747724,34248586850,33746959353,27944439371,27844610369,25144443639,20444429116,18044364212,21744444935,3242733808,4944220435,1942485272,1942452738,1942421124,17644431181,0037420147,85016942706,84926328209,84926315967,84923596890,77953793321,79960929608,84867433194,84887937249"
2,5,"85014919741,84944145198,8344268620,84928403518,84927144703,84928352468,84908377129,84908032310,84974834759,84992360049,84964284829,84987846873,84963894124,85038020078,85021082457,85008656587,85013005046,85049783762,85051118356,85047496072,85043989464,85042728544,85028946951,85027166038,85021449853,85070867493,85065438592,85046849777,85084811418,85082739449,85082851130,85077656929,85072703238,85103657459,85101397734,85115794347,84905328115,84955401097,84908662498,84897973930,84894025687,84908651399,84908617263,84899649403,84879350412,84877896066,84869888714,84867103449,84863622859,84861098027,84859147195,84856376138,80054730060,79961027208,79959810599,79951857697,79951850591,79251637743,78649904780,77955511748,77955295529,77950614080,74849113523,79251632960,70350290355,67649213496,67651159254,65949115976,53849105471,43449120122,40749145168,40749083849,35748948681,44449121857,44449119014,34249775211,34248174324,33847273541,33846984307,34548062880,33846200347,33846248646,33749590348,33750333009,33748692762,33747219487,33745728062,33746108113,33646810866,33744549353,33744546676,34248583877,33644747724,34248586850,27944439371,27844610369,25144443639,20444429116,18044364212,21744444935,3242733808,4944220435,1942485272,1942452738,1942421124,17644431181,0037420147,85016942706,84926328209,84926315967,84923596890,77953793321,79960929608,84867433194,84887937249"
3,4,"85014919741,84938487926,84945474827,84937815843,84907651866,84964475858,84959251645,84954227027,85021760353,85014822756,85053199113,85049783762,85045066719,85042728544,85039974799,85035338177,85027166038,85073695877,85067839665,85067419957,85066159907,85057539373,85054173801,85092168933,85090708953,85072705357,85072685873,85096474552,85092145384,84894085691,84892779486,84922259389,84908641335,84886093396,84856443636,84856141936,84855182668,0342264582,84985041059,84985021960"
3,5,"85014919741,84938487926,84945474827,84937815843,84907651866,84964475858,84959251645,84954227027,85014822756,85053199113,85049783762,85045066719,85042728544,85039974799,85035338177,85027166038,85073695877,85067839665,85067419957,85066159907,85057539373,85054173801,85090708953,85072705357,85072685873,85075037177,85092145384,84929626460,84894085691,84892779486,84908641335,84886093396,84856443636,84856141936,84855182668,0033789920,0034115175,0342980355,0343467296,0342264582,84985041059,84985021960"
4,5,"85014919741,84944145198,8344268620,84955295942,84936862071,84942906934,84938487926,84945474827,84929497699,84937815843,84928403518,84928748351,84927144703,84933182580,84938960466,84925709872,84930193409,84938518767,84928352468,84918791153,84918522449,84908377129,84908032310,84983174945,84907651866,84906788151,84904559502,84979790846,84974834759,84955615114,84992111172,84992360049,84983494470,84982146205,84978152271,84969836689,84969590439,84964475858,84964284829,84963677318,84971015138,84965167142,84987846873,84957863582,84963682416,84963646125,84961784217,84940056560,84963894124,84960841524,84957549835,84961958130,84960146316,84961372323,84959251645,84952684167,84954271498,84954227027,84944463653,84947613149,84954239577,84952793062,84947206326,84938703412,85034807010,85038020078,85033592453,85029533751,85021082457,85027723196,85026745359,85020852346,85020790225,84986224249,85011320947,84995487942,85006833184,85018379106,85025699383,84975127107,85007273829,85008656587,85021140091,85019264197,85018744565,85016569895,85014822756,85013005046,85010297133,84992554697,84992217089,85057757630,85054102907,85056155940,85053199113,85049031887,85047790656,85048720028,85049301360,85049783762,85051118356,85047496072,85049355908,85048788798,85047253472,85049900473,85042880330,85042108935,85045562040,85045066719,85045054218,85042219668,85042012763,85036528419,85043989464,85043391389,85034608613,85042728544,85042293053,85039974799,85039452562,85035338177,85044354576,85031723390,85028946951,85034442551,85046681199,85032954683,85032926298,85027166038,85021449853,85073695877,85067839665,85067190102,85069643799,85071519876,85068505384,85070867493,85067419957,85061585470,85064431788,85066159907,85062512205,85065438592,85061959327,85059144277,85058944368,85053847299,85060543795,85059331386,85057539373,85054173801,85057742920,85056881830,85056003869,85047241462,85046849777,85045464594,85059417619,85052612142,85052387585,85088987101,85090708953,85084811418,85085275438,85083438973,85083001801,85082739449,85090712506,85087486985,85082851130,85079694889,85080879686,85077789595,85077325150,85076570603,85073940213,85077302620,85077656929,85072705357,85073701674,85072685873,85070340988,85071608151,85075264777,85070490755,85072703238,85070883831,85111345004,85111922766,85110369107,85119591503,85113941828,85113166705,85112264789,85105884562,85105049993,85110294918,85109154871,85104305768,85105317705,85104092320,85100819995,85101618123,85103214129,85103657459,85096819526,85098664649,85091161988,85101397734,85098208520,85098482755,85099822466,85092145384,85139052090,85135840063,85131051326,85128637860,85126915459,85126779684,85115794347,84905328115,84955401097,84906832941,84906949195,84903202441,84901642361,84916197861,84908662498,84897973930,84893929030,84894085691,84894025687,84890618263,84892779486,84908651399,84908641335,84908617263,84908616987,84908615655,84905983621,84904054208,84903595476,84899649403,84892487153,84880964101,84890402605,84886093396,84883611815,84880585372,84880401220,84879350412,84874541819,84873523077,84874626984,84872414874,84886400168,84877908308,84877896066,84873809546,84869888714,84869888042,84867756214,84866743518,84865572850,84865531785,84867103449,84863622859,84861098027,84858339091,84855756604,84857034168,84857032567,84859147195,84856376138,84855706385,84856443636,84916601122,84866412784,84856141936,80054997193,80054730060,79961027208,80052090480,80052852643,80053111924,79961029341,80053607721,79960972279,79959810599,80955180128,79959960758,79955585050,79951857697,79951850591,79251637743,78650514362,84855182668,77958111465,77958013002,78649914147,77956676426,78649904780,77955511748,77955295529,77953672154,77649272364,77953288634,77953290515,77950614080,74849113523,79251632960,69949108386,77957793756,70349854994,70350290355,67649213496,67651159254,67349280282,67349199646,65649154670,65949115976,67449116846,61749096570,58249144005,61549121334,64749095562,55249100309,53849105471,47049113379,44649183927,43449120122,43949083042,40749145168,40749083849,40849095793,38349077475,37349011239,36749099329,35748948681,44449121857,44449119014,34848925837,34748824981,34547930271,34347359498,34249775211,34248174324,33847273541,33846984307,34548062880,33846200347,33846248646,33749590348,33750333009,33748692762,33747219487,33745728062,33746108113,33646810866,33744549353,33744546676,33645303795,34248583877,33644747724,34248586850,27944439371,27844610369,25144443639,20444429116,18044364212,21744444935,3242733808,4944220435,1942435577,1942485272,1942452738,1942421124,17644431181,14944375552,0037420147,0036875858,0037151561,0342264582,85016942706,84985041059,84985021960,84926328209,84926315967,84923596890,77953793321,79960929608,84867433194,2942689982,85044372587,84878215870,84887937249"
